,0,1,accuracy,macro avg,weighted avg
precision,0.0,1.0,0.9065934065934066,0.5,1.0
recall,0.0,0.9065934065934066,0.9065934065934066,0.4532967032967033,0.9065934065934066
f1-score,0.0,0.9510086455331412,0.9065934065934066,0.4755043227665706,0.9510086455331412
support,0.0,182.0,0.9065934065934066,182.0,182.0
