,0,1,accuracy,macro avg,weighted avg
precision,0.0,1.0,0.9932885906040269,0.5,1.0
recall,0.0,0.9932885906040269,0.9932885906040269,0.4966442953020134,0.9932885906040269
f1-score,0.0,0.9966329966329966,0.9932885906040269,0.4983164983164983,0.9966329966329968
support,0.0,149.0,0.9932885906040269,149.0,149.0
