,0,1,accuracy,macro avg,weighted avg
precision,0.0,1.0,0.9285714285714286,0.5,1.0
recall,0.0,0.9285714285714286,0.9285714285714286,0.4642857142857143,0.9285714285714286
f1-score,0.0,0.9629629629629629,0.9285714285714286,0.48148148148148145,0.9629629629629629
support,0.0,14.0,0.9285714285714286,14.0,14.0
