" ";Précision;Recall;F1-score;Support
Non-COVID;0.92;0.89;0.91;3532
COVID;0.54;0.62;0.57;701
accuracy;" ";" ";0.85;4233
Macro avg;0.73;0.76;0.74;4233
Weighted avg;0.86;0.85;0.85;4233
